Date/Time,FF - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),FF - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Air Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - LIBRARY 1:Zone Air Temperature [C](TimeStep),FF - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - QA 1:Zone Air Temperature [C](TimeStep),FF - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),GF - LOBBY 1:Zone Air Temperature [C](TimeStep),GF - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 09/17  00:15:00,22.816966396520403,24.0,22.982845725372275,24.0,23.067396053457816,24.0,22.84899674006803,24.0,22.75345758305701,24.0,22.879221013493385,24.0,22.152753045099306,24.0,0.0,0.0,-0.48481416164449675,-0.5180392432590188,-2.1613795649551317,-0.9562665496974052,-0.36339068297684424,-0.7835708959225712,-0.4662312359904128 
 09/17  00:30:00,22.764881507237277,24.0,22.930738021465398,24.0,23.017947941969975,24.0,22.802590952332288,24.0,22.676085931190123,24.0,22.83398918009841,24.0,22.05724177002314,24.0,0.0,0.0,-0.5012966908629377,-0.5328621140354738,-2.1812229243890715,-0.9838957200224363,-0.3794027848398706,-0.8167086546932174,-0.48235617966726274 
 09/17  00:45:00,22.708739234126437,24.0,22.873674050790616,24.0,22.96718326187165,24.0,22.751940080112778,24.0,22.591409496546802,24.0,22.784805738335393,24.0,21.94417331479048,24.0,0.0,0.0,-0.5187708967581866,-0.5479398636449342,-2.2023107025248665,-1.0130652536474076,-0.3964245933782543,-0.8534570789574641,-0.49929057716293185 
 09/17  01:00:00,22.650930933013967,24.0,22.8141176526997,24.0,22.915847450171256,24.0,22.699967513600534,24.0,22.503345388692463,24.0,22.73442059691209,24.0,21.821516924818514,24.0,0.0,0.0,-0.5369364448624657,-0.5632400614237899,-2.224052626321266,-1.0431763018572202,-0.4139362090711386,-0.892673997812494,-0.5167221593525267 
 09/17  01:15:00,22.598002205105807,24.0,22.758763622354422,24.0,22.866627420753197,24.0,22.65434857007366,24.0,22.422202024167614,24.0,22.69012042925367,24.0,21.71038364931108,24.0,0.0,0.0,-0.5511023138999612,-0.5760878250922177,-2.241757057407499,-1.06832997990888,-0.4282498738472006,-0.9228136333909492,-0.5316455933145089 
 09/17  01:30:00,22.55013989992441,24.0,22.708469886138758,24.0,22.81944714128437,24.0,22.614375524777074,24.0,22.34993891144086,24.0,22.65105956534185,24.0,21.617952308400323,24.0,0.0,0.0,-0.5659824463275356,-0.5901236668011437,-2.258307148363465,-1.0917679176883888,-0.44157707511149386,-0.9487784959806635,-0.5458396487860727 
 09/17  01:45:00,22.50414594750342,24.0,22.660538562585675,24.0,22.772802334918588,24.0,22.575832358223238,24.0,22.28270243129247,24.0,22.61314524495608,24.0,21.538512718126125,24.0,0.0,0.0,-0.5804862891962558,-0.6041339213621709,-2.274602916425149,-1.1142998304787808,-0.454723115919481,-0.9724920282616063,-0.5598013779468177 
 09/17  02:00:00,22.457660864299214,24.0,22.612577832008625,24.0,22.72560400387264,24.0,22.53627866230155,24.0,22.216659398372986,24.0,22.574110684375906,24.0,21.464376640576557,24.0,0.0,0.0,-0.5951078792273394,-0.6183390127653897,-2.2911734311553174,-1.1365698283247458,-0.4681406003694934,-0.9950809386776669,-0.5738881137440275 
 09/17  02:15:00,22.411044887635995,24.0,22.56463159971316,24.0,22.67803295090495,24.0,22.49666426177776,24.0,22.151477410121633,24.0,22.53494982492102,24.0,21.393656116344488,24.0,0.0,0.0,-0.6094055956622405,-0.6325112826581821,-2.307265981412336,-1.1578987638597809,-0.4812653146492432,-1.0166005262336846,-0.5876510115209173 
 09/17  02:30:00,22.364776545703098,24.0,22.5171030070743,24.0,22.63041985550684,24.0,22.457619948644112,24.0,22.087448452583814,24.0,22.496278394875716,24.0,21.32609787173094,24.0,0.0,0.0,-0.6236065774279287,-0.6467136952088043,-2.3233500372135003,-1.1790460200492074,-0.4943785658848228,-1.0377260730163056,-0.6014399128027582 
