Date/Time,FF - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),FF - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Air Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - LIBRARY 1:Zone Air Temperature [C](TimeStep),FF - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - QA 1:Zone Air Temperature [C](TimeStep),FF - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),GF - LOBBY 1:Zone Air Temperature [C](TimeStep),GF - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 12/17  00:15:00,23.27842636377416,24.0,23.1351961231216,24.0,23.30703796036216,24.0,23.503104907737516,24.0,22.70997122284469,24.0,23.512347314999527,24.0,22.25422595786753,24.0,0.0,0.0,-0.41873503614928276,-0.43680546708779433,-1.8749924211649531,-0.9711041953115921,-0.33914017836743404,-0.6579178619885206,-0.39937905058419837 
 12/17  00:30:00,23.28426375280809,24.0,23.138672798000265,24.0,23.29522905601481,24.0,23.52536444851865,24.0,22.714415784370072,24.0,23.532464862388906,24.0,22.274115737908144,24.0,0.0,0.0,-0.42195588062942563,-0.4425736302130593,-1.8756620280789034,-0.9735824735897405,-0.34000986351807516,-0.6547476949339316,-0.402669603665655 
 12/17  00:45:00,23.278090246195674,24.0,23.134798714286067,24.0,23.279500551065173,24.0,23.522364919501104,24.0,22.7160251781844,24.0,23.527198291134926,24.0,22.29494935661161,24.0,0.0,0.0,-0.42612834539733657,-0.44901263230048966,-1.8816725311903173,-0.9771954199229108,-0.3447678135935589,-0.6527723885463569,-0.40786426170982926 
 12/17  01:00:00,23.25494603035522,24.0,23.118000816982168,24.0,23.25619508568138,24.0,23.496015170008842,24.0,22.703608423364717,24.0,23.499585014434338,24.0,22.298726074887227,24.0,0.0,0.0,-0.43200043533053917,-0.4566224182216348,-1.8926631809066605,-0.983154730219521,-0.3529869454196424,-0.6538878257485359,-0.41566261116023184 
 12/17  01:15:00,23.221672615790173,24.0,23.09237460552886,24.0,23.22782993827677,24.0,23.46088430804928,24.0,22.67726441979791,24.0,23.464172558880165,24.0,22.28050173114244,24.0,0.0,0.0,-0.44025899637870236,-0.46540071378679254,-1.9070344610480567,-0.9938506998821552,-0.3633972448339326,-0.6631371364623256,-0.42599706988062586 
 12/17  01:30:00,23.186037187299835,24.0,23.063941731679495,24.0,23.19815798842988,24.0,23.42642500219983,24.0,22.643013482873606,24.0,23.42984079466982,24.0,22.246040645178688,24.0,0.0,0.0,-0.4489671253849653,-0.47435521641983225,-1.9214427507389797,-1.0061008308119865,-0.3737528663125727,-0.6756061958068614,-0.43677477542390875 
 12/17  01:45:00,23.1512602933654,24.0,23.035799003338546,24.0,23.168927422486966,24.0,23.393948830647123,24.0,22.606109249241406,24.0,23.397484225192844,24.0,22.20319751073072,24.0,0.0,0.0,-0.4577013014802311,-0.48328430282389856,-1.9355628157598836,-1.0189565947394261,-0.3838845716632279,-0.6898315273060583,-0.4474947832265867 
 12/17  02:00:00,23.116929894908242,24.0,23.008081846151285,24.0,23.139875314212,24.0,23.36139626425529,24.0,22.568501211330084,24.0,23.364977219782613,24.0,22.156602178423338,24.0,0.0,0.0,-0.46649202508027093,-0.4922992821106978,-1.949855570946427,-1.03218235217378,-0.3941381973577034,-0.7051064352696927,-0.45826367898945386 
 12/17  02:15:00,23.08405197907462,24.0,22.982000750740152,24.0,23.111108680893395,24.0,23.330191179408605,24.0,22.53295152886889,24.0,23.33373724875803,24.0,22.11297429609181,24.0,0.0,0.0,-0.47410674873294945,-0.500931466112877,-1.962558772687565,-1.0435574011239441,-0.4033186845445849,-0.717312095025789,-0.4679422447356984 
 12/17  02:30:00,23.052163419154375,24.0,22.95724805959069,24.0,23.082179261338627,24.0,23.300171781557026,24.0,22.499448643962264,24.0,23.3036334378993,24.0,22.073894564578413,24.0,0.0,0.0,-0.4815856929856339,-0.5097064944332255,-1.975087241365817,-1.0546943282547225,-0.41237468242451925,-0.7287606313898026,-0.4775518922596705 
