Date/Time,FF - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),FF - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Air Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - LIBRARY 1:Zone Air Temperature [C](TimeStep),FF - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - QA 1:Zone Air Temperature [C](TimeStep),FF - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),GF - LOBBY 1:Zone Air Temperature [C](TimeStep),GF - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 06/18  00:15:00,24.7145125989809,24.0,25.289708489590254,24.0,25.73116997406904,24.0,24.766230296026013,24.0,24.86391440371214,24.0,24.7305889160879,24.0,23.419613377260358,24.0,0.0,0.0,0.10905985380341197,0.30367628586922407,-1.372950174019576,-0.42272848929000595,-0.06675546770770292,-0.48910522982816634,-0.056610995384656033 
 06/18  00:30:00,24.63281910815315,24.0,25.18613428727172,24.0,25.631046088748732,24.0,24.69956328871784,24.0,24.72710408439791,24.0,24.665546990230375,24.0,23.271050378238076,24.0,0.0,0.0,0.07870655080420294,0.27446044094605143,-1.4004765965549606,-0.4671234140666848,-0.08601948212597553,-0.5334523206374624,-0.08088768362562193 
 06/18  00:45:00,24.550140788576588,24.0,25.08323719750036,24.0,25.530673287215432,24.0,24.632171098348692,24.0,24.590731207051952,24.0,24.599722347791865,24.0,23.126605368580208,24.0,0.0,0.0,0.048496346654838214,0.24511521742024073,-1.4282789987201683,-0.5113949814868415,-0.10550052071252246,-0.5772237164442374,-0.10542498301181712 
 06/18  01:00:00,24.466348666205906,24.0,24.98075313507369,24.0,25.42994954232121,24.0,24.5639006972526,24.0,24.45440339153547,24.0,24.532971459655933,24.0,22.984182793109095,24.0,0.0,0.0,0.018430725162527833,0.21565952362777777,-1.4563431718607964,-0.5555579609680971,-0.12518943394054682,-0.6207474703222584,-0.13020568932733337 
 06/18  01:15:00,24.384411481635773,24.0,24.881906980785438,24.0,25.330447013179313,24.0,24.498115385399704,24.0,24.32267676262751,24.0,24.46857716952995,24.0,22.853117215332244,24.0,0.0,0.0,-0.009584722644703126,0.1869721073657596,-1.4824645988529086,-0.5964599590151284,-0.1435727264527707,-0.6568183297916653,-0.15365125280688635 
 06/18  01:30:00,24.304791918598752,24.0,24.78699025745226,24.0,25.232342277227332,24.0,24.434952198697548,24.0,24.196547992158106,24.0,24.40661069455619,24.0,22.73639310371788,24.0,0.0,0.0,-0.0369087074796639,0.15848499876439606,-1.5079140296542757,-0.6360390049292025,-0.1615233721065641,-0.6899885042054189,-0.17666176581155893 
 06/18  01:45:00,24.22657198277162,24.0,24.694874962706102,24.0,25.13552574626874,24.0,24.37297250345444,24.0,24.074606348931717,24.0,24.34565054206249,24.0,22.630458975621654,24.0,0.0,0.0,-0.06351436077511313,0.13039698596766264,-1.532973208975007,-0.6744185893944615,-0.17923718998544463,-0.7208239240734313,-0.19930378287685555 
 06/18  02:00:00,24.14934615229448,24.0,24.604889132420773,24.0,25.040400585502965,24.0,24.311583140684167,24.0,23.955681250324172,24.0,24.285152940130374,24.0,22.531045469762187,24.0,0.0,0.0,-0.08943028674214765,0.10288038544662535,-1.557670337428134,-0.7116631714938154,-0.19672991767259707,-0.7499011952517762,-0.22153867416819423 
 06/18  02:15:00,24.071802077327302,24.0,24.515462449281646,24.0,24.946884532498228,24.0,24.24915125957428,24.0,23.837166520430024,24.0,24.22358291370884,24.0,22.431988594126008,24.0,0.0,0.0,-0.11557714332574083,0.0756777366874602,-1.5812340952998187,-0.7493767291954981,-0.21482158804051413,-0.7788405321844876,-0.244155142562532 
 06/18  02:30:00,23.994350858288882,24.0,24.42637907894528,24.0,24.855184954551426,24.0,24.186586388571712,24.0,23.719388845156733,24.0,24.161843946410546,24.0,22.33184034448509,24.0,0.0,0.0,-0.14149542362405285,0.04900565521727222,-1.6064332640608285,-0.7863599935997574,-0.23270356441058987,-0.8090246615110802,-0.2664285029337473 
 06/18  02:45:00,23.918586300930777,24.0,24.33865517703895,24.0,24.765773031669006,24.0,24.124568057157553,24.0,23.606119518798558,24.0,24.10055999462234,24.0,22.23230803341052,24.0,0.0,0.0,-0.16681493332193725,0.02303419906197461,-1.6315388770611232,-0.822240664323629,-0.25053322911949233,-0.8385722172125157,-0.2883094037921866 
 06/18  03:00:00,23.84565888214349,24.0,24.252830096118064,24.0,24.678572591622633,24.0,24.063098315648492,24.0,23.498522346822586,24.0,24.04008069388526,24.0,22.135145350518762,24.0,0.0,0.0,-0.19162820150338805,-0.0023847879566418775,-1.6564380351813106,-0.856825194887929,-0.2681732501224514,-0.8674475319051802,-0.3096563881771747 
 06/18  03:15:00,23.77446785626227,24.0,24.16807071440817,24.0,24.592780775457374,24.0,24.001867892918884,24.0,23.39458647327901,24.0,23.980292967445003,24.0,22.039154900844157,24.0,0.0,0.0,-0.21637608257235386,-0.02754072436805635,-1.68157353583286,-0.8909611076566816,-0.285933091910121,-0.8968436001121183,-0.330896608431504 
 06/18  03:30:00,23.703990314667113,24.0,24.083773203207056,24.0,24.507827931154353,24.0,23.941127056897017,24.0,23.29263742382278,24.0,23.92088115431379,24.0,21.94347930008094,24.0,0.0,0.0,-0.24092519263350226,-0.05244435549228112,-1.7066441888098665,-0.9245399248079944,-0.3036577811956122,-0.9258339002472162,-0.3519726059127633 
 06/18  03:45:00,23.633862076394145,24.0,23.99970350866262,24.0,24.42343902722901,24.0,23.8808309045174,24.0,23.192100388055355,24.0,23.86160726800926,24.0,21.848188154542463,24.0,0.0,0.0,-0.26534226145715983,-0.07717432835630939,-1.7316656942609872,-0.9576958597183028,-0.3213910231844112,-0.9548225529268737,-0.3729662059971607 
