Date/Time,FF - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),FF - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Air Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - LIBRARY 1:Zone Air Temperature [C](TimeStep),FF - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - QA 1:Zone Air Temperature [C](TimeStep),FF - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),GF - LOBBY 1:Zone Air Temperature [C](TimeStep),GF - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 01/01  00:15:00,23.108054968572286,24.0,23.03913705633328,24.0,23.07696870101572,24.0,23.175535890822967,24.0,22.777281960661167,24.0,23.249661934705134,24.0,22.337679755362686,24.0,0.0,0.0,-0.45161878700474695,-0.5458659939621512,-2.0132637464340903,-0.8737888237025054,-0.2986644234859869,-0.6992047311235771,-0.36900812014894463 
 01/01  00:30:00,23.06810859199638,24.0,23.00446441733769,24.0,23.04015010990574,24.0,23.142810305207043,24.0,22.727682326699348,24.0,23.216219427974863,24.0,22.284245346873266,24.0,0.0,0.0,-0.4626189523254096,-0.557164421398187,-2.0274179126283522,-0.8908811936114516,-0.30928592588122,-0.715987207612562,-0.38151475279196717 
 01/01  00:45:00,23.029508637874535,24.0,22.97056538169504,24.0,23.005128114696515,24.0,23.11097402406128,24.0,22.679535188532306,24.0,23.183644698367385,24.0,22.2312028167728,24.0,0.0,0.0,-0.4733464847889183,-0.5679807150583541,-2.041221105661449,-0.9074100636335446,-0.31966779785886873,-0.7323844148621671,-0.393626776411265 
 01/01  01:00:00,22.99259449887542,24.0,22.93785708039519,24.0,22.971934735021325,24.0,23.080422245941392,24.0,22.633492429036004,24.0,23.15229768904241,24.0,22.179981003442208,24.0,0.0,0.0,-0.48375424919116405,-0.5783289529597139,-2.0546049799350006,-0.9232851423409834,-0.3297640340005711,-0.7481832161850799,-0.4053075950852386 
 01/01  01:15:00,22.95667173292791,24.0,22.905789834786102,24.0,22.940099647875243,24.0,23.050298110841307,24.0,22.588789168849765,24.0,23.12134220738051,24.0,22.129596427593906,24.0,0.0,0.0,-0.49354665331515696,-0.5878881485624642,-2.067340577720036,-0.9383680730398414,-0.33918361618434484,-0.7637625713828136,-0.4161953965669949 
 01/01  01:30:00,22.92136011474021,24.0,22.87403489603606,24.0,22.90926921481431,24.0,23.020279521199583,24.0,22.544939693492363,24.0,23.090478487426395,24.0,22.079439460294385,24.0,0.0,0.0,-0.5032223593563249,-0.5971782693434263,-2.079985509654123,-0.9531408575119447,-0.3485439222349235,-0.7792002033734601,-0.4268900919091512 
 01/01  01:45:00,22.88656670258627,24.0,22.842530659534294,24.0,22.879193682766175,24.0,22.990430756734273,24.0,22.5018356852521,24.0,23.059775900935193,24.0,22.02960355810372,24.0,0.0,0.0,-0.5128241247305534,-0.6048811800339597,-2.0925670675404495,-0.9676709018546308,-0.3578622230466178,-0.794491203622023,-0.4374466716033847 
 01/01  02:00:00,22.852185002280063,24.0,22.811239562819367,24.0,22.849614241822206,24.0,22.96075360848275,24.0,22.459393903592122,24.0,23.029233256059264,24.0,21.98030453040942,24.0,0.0,0.0,-0.52098234358171,-0.6138834708548996,-2.1051198685891084,-0.9820269042143588,-0.367162189960692,-0.8096005275814612,-0.44650939778170834 
 01/01  02:15:00,22.820986172805267,24.0,22.782993553294585,24.0,22.821665089757857,24.0,22.934731958164875,24.0,22.4216191171096,24.0,23.002202829783144,24.0,21.939361000371264,24.0,0.0,0.0,-0.5287266882136421,-0.6220333927735632,-2.1151675652144784,-0.9931826761762825,-0.37476779662768245,-0.8190833208618721,-0.45526856048274683 
 01/01  02:30:00,22.793193837802765,24.0,22.758311781081886,24.0,22.795472170995115,24.0,22.91228694724021,24.0,22.389387601322664,24.0,22.97854827765016,24.0,21.90915871168705,24.0,0.0,0.0,-0.5357762806948951,-0.6298301433132538,-2.1242677658387854,-1.0031218379225384,-0.3817299865807029,-0.8263091327557606,-0.46334866660949436 
 01/01  02:45:00,22.76763646961032,24.0,22.73618463512901,24.0,22.770695676050693,24.0,22.891730415801206,24.0,22.36121458907903,24.0,22.956630712304456,24.0,21.88705028265475,24.0,0.0,0.0,-0.5422423103789175,-0.6372583029904295,-2.1327498508992093,-1.0119810388325914,-0.3882788250596871,-0.8316508201964212,-0.4708938034139608 
 01/01  03:00:00,22.743583300750487,24.0,22.71578187780557,24.0,22.747307176684934,24.0,22.872175840412563,24.0,22.33575085365857,24.0,22.935640130351896,24.0,21.86991839181161,24.0,0.0,0.0,-0.5482041050470827,-0.6442633205015272,-2.140761191108087,-1.0199654814939172,-0.3945104566733772,-0.8356650475768183,-0.47796955613717423 
 01/01  03:15:00,22.717804928524792,24.0,22.693707241211154,24.0,22.724119217180217,24.0,22.849720359617038,24.0,22.308013218648018,24.0,22.91185558532233,24.0,21.847733400580456,24.0,0.0,0.0,-0.5557068794178377,-0.6516832047905394,-2.1511225425365383,-1.0305410111663356,-0.40232852502435695,-0.8446322150363516,-0.4864317770548868 
 01/01  03:30:00,22.69017035254465,24.0,22.6695138114583,24.0,22.700819596350996,24.0,22.8246479673324,24.0,22.276992765042937,24.0,22.88563349846457,24.0,21.81740561015141,24.0,0.0,0.0,-0.5634593263845351,-0.6589583282942932,-2.1620132537877277,-1.0416343935512529,-0.4090897374272056,-0.8553001891736014,-0.4950953170180642 
 01/01  03:45:00,22.662086011483332,24.0,22.644225543545776,24.0,22.6777649665134,24.0,22.798942573505276,24.0,22.244371748713974,24.0,22.858904430159328,24.0,21.781651724788603,24.0,0.0,0.0,-0.5713406942976816,-0.6661069083547856,-2.1730343532730774,-1.0529354119714531,-0.4173252714781079,-0.8669485688007991,-0.5037766224262411 
 01/01  04:00:00,22.63439174423129,24.0,22.618740219139596,24.0,22.65509832725848,24.0,22.77359694460108,24.0,22.211667041411527,24.0,22.83258144965039,24.0,21.743898618464325,24.0,0.0,0.0,-0.5792747198049177,-0.6731736479867071,-2.1840179473150263,-1.0642577532060027,-0.42552109825702805,-0.8788213050755584,-0.5123975313617283 
 01/01  04:15:00,22.60914515495211,24.0,22.595385886611123,24.0,22.633594086958997,24.0,22.75105789634138,24.0,22.18233835718038,24.0,22.808983042545965,24.0,21.711459806075226,24.0,0.0,0.0,-0.5859609027788726,-0.6796468441047181,-2.1932283658409153,-1.073401861886284,-0.4325097930389872,-0.8871637505888458,-0.5198185694397884 
 01/01  04:30:00,22.586189588031793,24.0,22.574342784037174,24.0,22.61308274119606,24.0,22.730884862343277,24.0,22.156824666414686,24.0,22.78763625248719,24.0,21.686294154643807,24.0,0.0,0.0,-0.5922285630705646,-0.6859429917426725,-2.2018208008505153,-1.0816439329886616,-0.43907279639666436,-0.8936706174182835,-0.5267940137100493 
 01/01  04:45:00,22.564415729471612,24.0,22.554616196919344,24.0,22.593050141847144,24.0,22.71166049678646,24.0,22.133761083412125,24.0,22.76719704417241,24.0,21.66630285060964,24.0,0.0,0.0,-0.5982343243549982,-0.6921242794220321,-2.2101454157889355,-1.089351552845601,-0.44545031183039696,-0.8992093293765603,-0.533526811641786 
 01/01  05:00:00,22.543149359963643,24.0,22.535428838138724,24.0,22.573263289318096,24.0,22.692736760284212,24.0,22.111935953117193,24.0,22.746979891660764,24.0,21.648938178058103,24.0,0.0,0.0,-0.6040689974262641,-0.6981995479218641,-2.2183162983505653,-1.0966850825940473,-0.4517283878883936,-0.90410654547538,-0.5400936336064031 
 01/01  05:15:00,22.521638115530152,24.0,22.5159031316745,24.0,22.553483175783455,24.0,22.673213036447724,24.0,22.08984078235711,24.0,22.72606980633961,24.0,21.63085648043693,24.0,0.0,0.0,-0.6101747972826113,-0.7043323282442892,-2.22690672630422,-1.1044943432296506,-0.45829798316369963,-0.9100050845809668,-0.5468896808460412 
 01/01  05:30:00,22.499918360748993,24.0,22.495996141000575,24.0,22.53375694279828,24.0,22.653082602829336,24.0,22.067183326621034,24.0,22.704599775114954,24.0,21.611046571422023,24.0,0.0,0.0,-0.6163086809491467,-0.7104220001973522,-2.2356286447737137,-1.1123993809585797,-0.46495425188599077,-0.9162665871708576,-0.5537041245060834 
 01/01  05:45:00,22.483001697757103,24.0,22.47753405134459,24.0,22.514783887485237,24.0,22.638224166300745,24.0,22.04917012773682,24.0,22.68823341028139,24.0,21.598912635869187,24.0,0.0,0.0,-0.621529391640306,-0.7161166145946326,-2.240554141762661,-1.1169868491981052,-0.4690402840402423,-0.9170496698329873,-0.5578793528686551 
