Date/Time,FF - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),FF - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Air Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - LIBRARY 1:Zone Air Temperature [C](TimeStep),FF - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - QA 1:Zone Air Temperature [C](TimeStep),FF - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),GF - LOBBY 1:Zone Air Temperature [C](TimeStep),GF - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 03/18  00:15:00,22.27518206200197,26.0,22.334548037418443,25.0,22.482692351094766,24.0,22.40281256427433,23.0,21.95688202141522,24.0,22.46000204362612,25.0,21.530580948037755,26.0,0.0,0.0,-0.7672823927903889,-0.8541627307420129,-2.4898463702600813,-1.2878194466649302,-0.6091139795464814,-1.0036294745941516,-0.700216781041349 
 03/18  00:30:00,22.267787791444633,26.0,22.329059320286806,25.0,22.463354258976285,24.0,22.402975610614412,23.0,21.95228510701423,24.0,22.458027245384955,25.0,21.553400078819656,26.0,0.0,0.0,-0.7672077861184088,-0.8593907918593376,-2.4884031159062006,-1.2864605103599625,-0.6090867897988012,-0.9898661921624748,-0.7011827904939071 
 03/18  00:45:00,22.26551301389816,26.0,22.330747117912885,25.0,22.44762486788037,24.0,22.406991437150033,23.0,21.95733156217419,24.0,22.459535602097013,25.0,21.59513698936053,26.0,0.0,0.0,-0.7655380963230757,-0.8636959155815918,-2.4860108406502013,-1.2827809713715594,-0.6082263933329295,-0.9722022154360989,-0.7011646561561111 
 03/18  01:00:00,22.254533394017127,26.0,22.32480519564933,25.0,22.42811637516002,24.0,22.394398017126832,23.0,21.959417441680735,24.0,22.443932104766883,25.0,21.643524004530565,26.0,0.0,0.0,-0.7705393611348258,-0.8712674418658034,-2.4961124604890714,-1.2833811579990415,-0.6168419106249804,-0.953270010407478,-0.7070439458161721 
 03/18  01:15:00,22.238853088229813,26.0,22.31335506020417,25.0,22.409208469073874,24.0,22.375723477051974,23.0,21.95589759239909,24.0,22.422849520946286,25.0,21.67902185231259,26.0,0.0,0.0,-0.7738003435041401,-0.8762596991307761,-2.5026486086252246,-1.2850428719464853,-0.6230530705237041,-0.9456816554952433,-0.7114121246713935 
 03/18  01:30:00,22.238355476332906,26.0,22.315530679523082,25.0,22.40372796975727,24.0,22.379309975932646,23.0,21.957846852604167,24.0,22.42515149428119,25.0,21.701014421652733,26.0,0.0,0.0,-0.7681376473915661,-0.8748626093625572,-2.494621019939796,-1.281295400379172,-0.618286067939051,-0.9395608556038966,-0.7073191917606516 
 03/18  01:45:00,22.24727537277658,26.0,22.32619366655738,25.0,22.407840177610208,24.0,22.39163995189555,23.0,21.966194222586243,24.0,22.43605756484075,25.0,21.718313323821835,26.0,0.0,0.0,-0.7662553480935453,-0.8743085008168637,-2.4927306368833473,-1.2786747204608744,-0.6175973405755714,-0.9340199118071033,-0.7059885592697971 
 03/18  02:00:00,22.254906468469784,26.0,22.335932987799694,25.0,22.4127163385788,24.0,22.398025224287764,23.0,21.975191603598596,24.0,22.440556421800725,25.0,21.73347396302131,26.0,0.0,0.0,-0.7646946144665859,-0.8740595278027387,-2.4925457873364163,-1.2769040145088273,-0.6180344913582493,-0.9304722012557736,-0.7051625200217336 
 03/18  02:15:00,22.251615242564306,26.0,22.33626552435378,25.0,22.410679210074996,24.0,22.3901877917023,23.0,21.97413857334206,24.0,22.43095899138873,25.0,21.73416701751417,26.0,0.0,0.0,-0.7671981590956938,-0.8765016646287019,-2.498861621074756,-1.281134192656904,-0.622957404389235,-0.9363383911865456,-0.7087837872774932 
 03/18  02:30:00,22.236895446576483,26.0,22.326142876604276,25.0,22.40005999363192,24.0,22.37098487030574,23.0,21.959212380234515,24.0,22.41065349046099,25.0,21.713916819472214,26.0,0.0,0.0,-0.7720192440259825,-0.8809809049050205,-2.508290837276422,-1.2895474926529664,-0.629957352129876,-0.9479101373840869,-0.7146673296124432 
 03/18  02:45:00,22.21406182962922,26.0,22.30825030700996,25.0,22.382433880870444,24.0,22.345370277150135,23.0,21.932458961518456,24.0,22.384553247423614,25.0,21.67464634235091,26.0,0.0,0.0,-0.7788181511742558,-0.8872980386288308,-2.520252964753005,-1.3013556423444466,-0.6393729853054195,-0.9645623497923468,-0.7227186668262021 
 03/18  03:00:00,22.185661103124374,26.0,22.285117746273766,25.0,22.35947737591168,24.0,22.315839148370483,23.0,21.897013848431946,24.0,22.354893327748673,25.0,21.62137205096148,26.0,0.0,0.0,-0.7869767788908375,-0.8950807774661867,-2.534340526702124,-1.3160498446119655,-0.6503538212444449,-0.9849724741184369,-0.7324347187555198 
 03/18  03:15:00,22.15577404186252,26.0,22.260700283034737,25.0,22.333259692602105,24.0,22.286365008324655,23.0,21.859042756614897,24.0,22.32533529881261,25.0,21.56555859591652,26.0,0.0,0.0,-0.7944829548846823,-0.9033659236808488,-2.547561882334332,-1.33095155356897,-0.6605409311933579,-1.0030631784732613,-0.74146811140771 
 03/18  03:30:00,22.124758675988407,26.0,22.235658061209463,25.0,22.304114756825015,24.0,22.256825701916323,23.0,21.820282886123813,24.0,22.29565515630501,25.0,21.51166219261856,26.0,0.0,0.0,-0.8026420297490222,-0.9126950191152436,-2.5611409943744374,-1.3454656267375091,-0.6709778615487795,-1.0210810938884822,-0.75139762535647 
 03/18  03:45:00,22.09161830391242,26.0,22.2090386546058,25.0,22.271936303209298,24.0,22.22568501468079,23.0,21.779715516384393,24.0,22.264373022889078,25.0,21.458338574431792,26.0,0.0,0.0,-0.8113513344503187,-0.9228423626815915,-2.5755696593071873,-1.360866890693987,-0.6820284962470394,-1.0394416649323823,-0.7618260557680719 
 03/18  04:00:00,22.05611119329255,26.0,22.180326220496692,25.0,22.237170594103436,24.0,22.192527509056852,23.0,21.736591115119477,24.0,22.231141827192506,25.0,21.403538088119934,26.0,0.0,0.0,-0.8205947508167748,-0.9336149287423887,-2.590717646077614,-1.3770532090409826,-0.6936090613788468,-1.0581759372363826,-0.7728911756378134 
 03/18  04:15:00,22.01891643016542,26.0,22.14983080625696,25.0,22.200696457676305,24.0,22.158063092685563,23.0,21.69127030782427,24.0,22.196679097563873,25.0,21.346942886592,26.0,0.0,0.0,-0.8302578261793362,-0.9447848762151504,-2.6063076121710145,-1.3938381631464198,-0.7055082779768859,-1.0772998410018086,-0.7843333120309721 
 03/18  04:30:00,21.98089079443395,26.0,22.118178707324926,25.0,22.16336730047757,24.0,22.123090312564305,23.0,21.644657544529096,24.0,22.16174804880738,25.0,21.288887559017045,26.0,0.0,0.0,-0.840205962560026,-0.9561547717007239,-2.622106649508773,-1.410968442057309,-0.7175538355347605,-1.0969278358681367,-0.7959753582283071 
 03/18  04:45:00,21.943027560774464,26.0,22.08557206333898,25.0,22.12564932696625,24.0,22.08845233734685,23.0,21.597956755178302,24.0,22.12712411194605,25.0,21.230149534501802,26.0,0.0,0.0,-0.8505143251116253,-0.9676583164248272,-2.6376876974058523,-1.4279432495597013,-0.7294398875633332,-1.1166639022411058,-0.8074581780069622 
 03/18  05:00:00,21.905269518828764,26.0,22.0526691525343,25.0,22.088088501825386,24.0,22.0538886500047,23.0,21.551086178960674,24.0,22.09255626216556,25.0,21.171425034278005,26.0,0.0,0.0,-0.8607452047049623,-0.9790415502121099,-2.653433942682745,-1.4452739371506473,-0.7414350752025674,-1.1363716092860912,-0.8193532911689876 
 03/18  05:15:00,21.868722571101703,26.0,22.020850932920904,25.0,22.051505747950657,24.0,22.020752077496002,23.0,21.50619265144781,24.0,22.059370531742854,25.0,21.115766545590944,26.0,0.0,0.0,-0.8702500303296812,-0.9899260069456365,-2.6679936084854528,-1.460919667317873,-0.7526455877526468,-1.1539593047619847,-0.8308680090715035 
 03/18  05:30:00,21.8329562968759,26.0,21.99068261138765,25.0,22.016126731533504,24.0,21.988470186217825,23.0,21.463026515290476,24.0,22.027009297084238,25.0,21.06387533300776,26.0,0.0,0.0,-0.8793025931410324,-1.0005139935773009,-2.6825713911136106,-1.4765481570344328,-0.7638526782644841,-1.1706704050456582,-0.843567445045523 
 03/18  05:45:00,21.79759818457212,26.0,21.961154233407694,25.0,21.98122710475672,24.0,21.956541417253053,23.0,21.42079323793009,24.0,21.994956972577846,25.0,21.01447778456105,26.0,0.0,0.0,-0.8884479292303441,-1.0111281379494363,-2.6969352971071316,-1.4918575184135003,-0.7749158148696637,-1.1868622432548248,-0.8549630274376708 
 03/18  06:00:00,21.762101477729296,26.0,21.93129034446916,25.0,21.946016643491095,24.0,21.924398195856362,23.0,21.378570138110504,24.0,21.962655384605533,25.0,20.96586450485191,26.0,0.0,0.0,-0.8977257945094433,-1.0218839209744524,-2.7114654554429354,-1.507294100290203,-0.7861070269891534,-1.202964177049809,-0.8666071678119084 
 03/18  06:15:00,21.728530497034484,26.0,21.903132562863263,25.0,21.911161411482887,24.0,21.8947750535652,23.0,21.339151565317522,24.0,21.93274505644313,25.0,20.923039501003355,26.0,0.0,0.0,-0.9059345340265718,-1.0326528138427573,-2.72402620682739,-1.520430736596302,-0.7960219613562316,-1.214856369950343,-0.8783151390665233 
 03/18  06:30:00,21.696956099944323,26.0,21.877133425364917,25.0,21.8767422111458,24.0,21.867548572361166,23.0,21.303036532718533,24.0,21.905072313523483,25.0,20.8873495577564,26.0,0.0,0.0,-0.9140139898703081,-1.0436038256198201,-2.735878955447794,-1.5328446115722023,-0.8058224397877524,-1.2251856814421682,-0.8895464740136629 
 03/18  06:45:00,21.671891232472152,26.0,21.858115950260625,25.0,21.845264689004335,24.0,21.84738178763726,23.0,21.279019355624907,24.0,21.88401569234661,25.0,20.874628924963947,26.0,0.0,694.6486713902971,-0.9182751165844149,-1.0540450644999082,-2.74289327142158,-1.5375351746668902,-0.8121496140451125,-1.2222308632118146,-0.8970910783006487 
 03/18  07:00:00,21.656907501625014,25.0,21.84990028107122,24.0,21.81987777402663,24.0,21.837287179748834,24.0,21.27347430422885,22.0,21.872413488107515,25.0,20.895033369477375,23.0,0.0,1777.6348357851402,-0.9191520578664671,-1.06116698281719,-2.7457438217733885,-1.535946861549784,-0.8153068849348116,-1.2093638142738985,-0.9011309601924741 
 03/18  07:15:00,21.65657185690211,24.999999999999996,23.460122333626984,23.999999999999993,23.870295249644307,23.999999999999993,21.83844713549033,23.999999999999993,21.286056420163256,21.999999999999996,21.87199543056354,24.999999999999996,21.45271637789217,22.999999999999996,2247.0103889970583,3243.2331764823853,-0.6308657305727476,-0.7301173845857797,-2.7449382073418125,-1.5291509322691592,-0.8154244188522866,-1.083048771350008,-0.9009258452749161 
 03/18  07:30:00,21.668055798335242,23.0,24.38540374894103,25.0,23.996174681781312,24.000000000000004,21.85059095567764,26.0,21.314049841565218,25.0,21.882146708678455,24.000000000000004,21.771808526842104,24.000000000000004,2408.4320001209367,5050.431523210376,-0.42920182457677936,-0.675465815608879,-2.737451866797469,-1.5141571731993908,-0.8108865937611113,-0.9891647240463822,-0.8950780648098094 
 03/18  07:45:00,22.292357425740654,23.0,24.778946648968052,24.999999999999996,23.996686529857566,24.0,21.876828034359587,26.0,21.359544947248523,26.0,22.23460574946866,24.999999999999996,22.043749274137767,24.0,2493.7540204969496,6247.244058435086,-0.31073470407724835,-0.6579465191054857,-2.723378939929478,-1.4922928825319657,-0.7450158561504662,-0.9151099041156716,-0.7737924981391647 
 03/18  08:00:00,22.94924072450909,23.0,23.983579116837344,24.0,23.996533130668297,24.0,21.938078233311366,24.0,21.46501062039497,26.0,22.609482364013306,24.999999999999996,22.52067736293703,24.0,2907.1102096091895,7489.074793342484,-0.4049970483127197,-0.6392521794855159,-2.6954794439543925,-1.4518400739593924,-0.6644100288682515,-0.798317078883991,-0.6351130733557562 
 03/18  08:15:00,22.98576857078079,23.000000000000004,23.47558379155325,24.000000000000004,23.56367590677042,24.000000000000004,23.247519516797677,24.000000000000004,22.149834185831665,26.0,22.698290011116633,25.0,22.72601612392337,24.000000000000004,84.99095294273658,8748.613500443804,-0.4885858918802256,-0.6980687145834014,-2.3825482394698096,-1.2710036878258348,-0.6274674282814565,-0.7053555811987285,-0.5980985251211998 
 03/18  08:30:00,23.23411264543882,24.999999999999996,23.24705425373873,24.0,23.465003580004,24.0,23.729056598873612,24.0,22.002055853278478,22.0,22.83235145169258,24.999999999999996,22.938403849158668,23.0,1954.9409111497891,10016.011515417968,-0.5129279424260773,-0.6981174902244143,-2.223879797916951,-1.2501495065110626,-0.5815967135127308,-0.606840114848396,-0.524829518535005 
 03/18  08:45:00,23.43068039522302,25.0,23.157603205986696,24.0,23.465532635551654,24.0,23.955686589553046,24.0,21.99884756437241,22.0,22.970498605458072,25.0,23.276861015859854,24.0,1906.8542412161664,10922.810000075404,-0.5039618506830805,-0.6724235235717211,-2.135253089421289,-1.2218677821129529,-0.532622998859927,-0.4865715229506938,-0.4540909577748895 
 03/18  09:00:00,23.803970141550302,25.0,22.99177880904496,24.0,23.47005549468524,24.0,23.99845883537366,24.0,21.998487666110563,22.0,23.223852496306662,25.0,23.88961593290691,24.0,2298.151022931629,11803.136379473728,-0.5005427371029728,-0.6404723207004109,-2.0812161545284873,-1.192853361800571,-0.45673221890861104,-0.30526473844663715,-0.3430715827428812 
