Date/Time,FF - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),FF - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Air Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - LIBRARY 1:Zone Air Temperature [C](TimeStep),FF - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - QA 1:Zone Air Temperature [C](TimeStep),FF - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),GF - LOBBY 1:Zone Air Temperature [C](TimeStep),GF - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 06/18  00:15:00,24.714512598980864,26.0,25.289708489590307,25.0,25.731169974069022,24.0,24.76623029602588,23.0,24.863914403712254,24.0,24.73058891608778,25.0,23.41961337726013,26.0,0.0,0.0,0.031041702877887562,0.22985147679319462,-1.4926862482889824,-0.5153189610945018,-0.1487827095944932,-0.5838043998095138,-0.13905234474235684 
 06/18  00:30:00,24.632819108153146,26.0,25.186134287271752,25.0,25.63104608874872,24.0,24.699563288717755,23.0,24.72710408439805,24.0,24.66554699023033,25.0,23.271050378238055,26.0,0.0,0.0,-0.00017057881517906534,0.19980797858410823,-1.5209936357594234,-0.5609712286317113,-0.16859072968632066,-0.6294005938864334,-0.1640148947058271 
 06/18  00:45:00,24.550140788576552,26.0,25.08323719750038,25.0,25.53067328721544,24.0,24.632171098348664,23.0,24.590731207052013,24.0,24.599722347791847,25.0,23.12660536858037,26.0,0.0,0.0,-0.0312354860171495,0.1696316283804374,-1.5495846919327216,-0.6064961587090973,-0.18862180801448356,-0.6744047494220282,-0.18924525135360387 
 06/18  01:00:00,24.466348666205842,26.0,24.980753135073734,25.0,25.42994954232122,24.0,24.56390069725269,23.0,24.454403391535532,24.0,24.532971459655865,25.0,22.984182793109245,26.0,0.0,0.0,-0.0621514441207376,0.13934190665770096,-1.5784447583236567,-0.651908873310837,-0.20886649841712232,-0.7191539893782011,-0.21472568161566266 
 06/18  01:15:00,24.384411481635695,26.0,24.881906980785505,25.0,25.330447013179334,24.0,24.498115385399792,23.0,24.322676762627715,24.0,24.468577169529887,25.0,22.853117215332425,26.0,0.0,0.0,-0.09095896289461763,0.10984197868470111,-1.605307152249022,-0.6939673504810242,-0.2277687714274369,-0.7562379264953254,-0.23883320495256422 
 06/18  01:30:00,24.30479191859869,26.0,24.786990257452356,25.0,25.23234227722737,24.0,24.434952198697644,23.0,24.196547992158393,24.0,24.406610694556118,25.0,22.736393103717887,26.0,0.0,0.0,-0.11905552089270495,0.08054813025454205,-1.631478520144255,-0.7346653036344531,-0.24622624593496933,-0.7903400478953947,-0.26249338097405744 
 06/18  01:45:00,24.22657198277165,26.0,24.69487496270616,25.0,25.135525746268783,24.0,24.372972503454534,23.0,24.07460634893194,24.0,24.345650542062486,25.0,22.630458975621526,26.0,0.0,0.0,-0.14641326694722373,0.051664935209326704,-1.657248462672871,-0.7741295501989977,-0.2644401410855225,-0.8220419708878572,-0.285774520041567 
 06/18  02:00:00,24.149346152294573,26.0,24.604889132420855,25.0,25.04040058550303,24.0,24.311583140684128,23.0,23.955681250324375,24.0,24.28515294013037,25.0,22.531045469762347,26.0,0.0,0.0,-0.17306151905306633,0.0233696218546645,-1.682645873148334,-0.8124262111123767,-0.28242654747928625,-0.8519361291698628,-0.3086368020323863 
 06/18  02:15:00,24.0718020773274,26.0,24.515462449281728,25.0,24.946884532498313,24.0,24.24915125957404,23.0,23.837166520430245,24.0,24.223582913708807,25.0,22.431988594126356,26.0,0.0,0.0,-0.1999478477006537,-0.004603321649104112,-1.7089299677393035,-0.8512056557625834,-0.3010294388433649,-0.8831283059683263,-0.33189202617825125 
 06/18  02:30:00,23.99435085828896,26.0,24.42637907894534,25.0,24.855184954551476,24.0,24.18658638857155,23.0,23.71938884515689,24.0,24.16184394641048,25.0,22.33184034448549,26.0,0.0,0.0,-0.22659885702640234,-0.03203045932553425,-1.734868941902254,-0.8892334921551476,-0.3194164424576952,-0.9141865113595148,-0.35479409208121976 
 06/18  02:45:00,23.918586300930784,26.0,24.338655177038994,25.0,24.76577303166903,24.0,24.124568057157518,23.0,23.606119518798668,24.0,24.100559994622312,25.0,22.23230803341059,26.0,0.0,0.0,-0.2526338371551005,-0.058736906323237914,-1.7588260132299873,-0.9261274485207618,-0.33774962049563456,-0.9445906613187371,-0.3772925387099219 
 06/18  03:00:00,23.845658882143482,26.0,24.252830096118107,25.0,24.678572591622665,24.0,24.06309831564854,23.0,23.49852234682266,24.0,24.040080693885226,25.0,22.135145350518577,26.0,0.0,0.0,-0.278148113630001,-0.08487511370835084,-1.7844326320129715,-0.9616886543892373,-0.3558877361674348,-0.9729724788556535,-0.3992420506418925 
 06/18  03:15:00,23.774467856262245,26.0,24.168070714408206,25.0,24.59278077545741,24.0,24.00186789291889,23.0,23.394586473279073,24.0,23.980292967444935,25.0,22.039154900843716,26.0,0.0,0.0,-0.3035951856758497,-0.11074278427013033,-1.8102823771058176,-0.9967887681142432,-0.3741492234988265,-1.0031957881786524,-0.42108196211943727 
 06/18  03:30:00,23.703990314667063,26.0,24.083773203207056,25.0,24.50782793115441,24.0,23.94112705689702,23.0,23.29263742382284,24.0,23.92088115431373,25.0,21.943479300080686,26.0,0.0,0.0,-0.32883765535877935,-0.13635082728528683,-1.8360653591499103,-1.0313158153905442,-0.39237452746414514,-1.0330015140270508,-0.44275291808624356 
 06/18  03:45:00,23.63386207639413,26.0,23.999703508662588,25.0,24.423439027229104,24.0,23.88083090451727,23.0,23.192100388055422,24.0,23.861607268009195,25.0,21.848188154542505,26.0,0.0,0.0,-0.35394414111867417,-0.16178011946872994,-1.861797724612047,-1.0654077803473854,-0.4106085713265355,-1.0628053744926715,-0.46433904043385804 
 06/18  04:00:00,23.564037752597756,26.0,23.91563660786173,25.0,24.33943559250465,24.0,23.820707623885657,23.0,23.092923660583942,24.0,23.802326833278194,25.0,21.75347886494906,26.0,0.0,0.0,-0.378975356590472,-0.18708597326520968,-1.887547821294434,-1.0991157183219227,-0.42888573873376734,-1.0946726657089,-0.48587131513713 
 06/18  04:15:00,23.496850911840056,26.0,23.834547296609838,25.0,24.256739229625918,24.0,23.763421453686796,23.0,22.99838945091207,24.0,23.745734993754716,25.0,21.665371614583602,26.0,0.0,0.0,-0.4024154611463197,-0.21168041151357403,-1.911380394215461,-1.130129550950918,-0.4458770228151702,-1.1218629999276035,-0.5060546037202163 
 06/18  04:30:00,23.432446147233428,26.0,23.758106251807607,25.0,24.175403636601697,24.0,23.708802194657068,23.0,22.90906301800055,24.0,23.691655880211126,25.0,21.58561221101281,26.0,0.0,0.0,-0.42500581844708996,-0.23594020843224486,-1.9345376524774645,-1.1598637977680752,-0.46241381035724366,-1.1469651476999612,-0.5256884258896035 
 06/18  04:45:00,23.369905471382378,26.0,23.68549445760434,25.0,24.095154606324616,24.0,23.655565830943058,23.0,22.823750860203976,24.0,23.638828569060014,25.0,21.512227572314856,26.0,0.0,0.0,-0.4467990543377142,-0.25982592315190006,-1.9572288261757824,-1.1869538046727321,-0.47864597989084373,-1.1704143629919301,-0.5448513457280361 
 06/18  05:00:00,23.3087912965859,26.0,23.615839982134098,25.0,24.016100340795465,24.0,23.603208293754687,23.0,22.741415518392273,24.0,23.586788586118626,25.0,21.44254533318504,26.0,0.0,0.0,-0.46770047605662346,-0.28316375167183944,-1.9795146080066093,-1.2145641891345407,-0.4946131326656423,-1.1928975919040659,-0.5635612345019636 
 06/18  05:15:00,23.24975848493567,26.0,23.548446823478166,25.0,23.939734468183538,24.0,23.55268906022384,23.0,22.66243742407128,24.0,23.5364861275543,25.0,21.377049779126036,26.0,0.0,0.0,-0.4879915507177898,-0.3057579812485332,-2.0007620853105696,-1.2407317574473289,-0.5098810667250783,-1.2133219303045895,-0.5814536590316317 
 06/18  05:30:00,23.193014614700076,26.0,23.483446301074295,25.0,23.86716433563149,24.0,23.50417504554598,23.0,22.586941747135334,24.0,23.48808105488842,25.0,21.3156299254929,26.0,0.0,0.0,-0.5074873951407108,-0.3274481219578866,-2.02136608794623,-1.2658910382542894,-0.5247123890858374,-1.2327398671794134,-0.5987659824380478 
 06/18  05:45:00,23.138113320389568,26.0,23.42079754855015,25.0,23.797866936430225,24.0,23.45707169897199,23.0,22.514481827252194,24.0,23.440994778120007,25.0,21.257479623801327,26.0,0.0,0.0,-0.5263847264529008,-0.3484352158902199,-2.0415289031308825,-1.2901845176385278,-0.5392470956588188,-1.251282081847441,-0.6156360329671328 
 06/18  06:00:00,23.08435803385063,26.0,23.360138613973056,25.0,23.730665669872426,24.0,23.41069039130555,23.0,22.444286202674352,24.0,23.394569684258542,25.0,21.20180880333981,26.0,0.0,0.0,-0.5447817211312426,-0.36895149973214797,-2.0614699718084544,-1.313854392382041,-0.5536355045515914,-1.2690855596718225,-0.6322356273423094 
 06/18  06:15:00,23.03245805745886,26.0,23.30228461801714,25.0,23.66523452117705,24.0,23.366213236488825,23.0,22.37740682817695,24.0,23.34995561196718,25.0,21.15080290884385,26.0,0.0,0.0,-0.5620118597213153,-0.3888365725552894,-2.0801977018312945,-1.3359069901613914,-0.56720639128858,-1.284508991274244,-0.6479842341867112 
 06/18  06:30:00,22.98217370981878,26.0,23.24708366721146,25.0,23.60120487721523,24.0,23.32333257415013,23.0,22.313633185462017,24.0,23.306845335446432,25.0,21.10456115710847,26.0,0.0,0.0,-0.5786343556294786,-0.4083976612985654,-2.098548403967591,-1.357090598844676,-0.580520255368986,-1.2985685245327112,-0.6634029042690796 
 06/18  06:45:00,22.93741443827894,26.0,23.225261110086308,25.0,23.552350779816827,24.0,23.285919636930974,23.0,22.259331796902256,24.0,23.268885752765517,25.0,21.114339214279966,26.0,0.0,524.0047606606336,-0.5737409369517333,-0.41833312020055324,-2.11314596727985,-1.372543009682764,-0.5913272567658009,-1.2776362666833685,-0.6760200248275476 
 06/18  07:00:00,22.90110201425903,25.0,23.250298656760425,24.0,23.52482626495071,24.0,23.25635403508029,24.0,22.218870329964723,22.0,23.238301935589586,25.0,21.20490719494536,23.0,0.0,1329.875593217993,-0.5595823297418142,-0.4237709330928529,-2.1244998559087267,-1.38362368328877,-0.5999402077849536,-1.2365949287995817,-0.6861254421357853 
 06/18  07:15:00,22.88764714431575,24.999999999999996,23.994205815697185,24.0,23.945480835617637,24.0,23.244365555928358,24.0,21.949132291207775,22.0,23.225049525167808,24.999999999999996,21.807469671118827,23.0,3121.4718440396196,2431.8851550152453,-0.3974832450297968,-0.38863931905701604,-2.1305424377843956,-1.4341357350762687,-0.6048079330768862,-1.083403620065512,-0.6912814507810504 
